AGNO;RBD;DGV_RBD;NOM_RBD;LET_RBD;NUM_RBD;COD_REG_RBD;COD_COM_RBD;NOM_COM_RBD;COD_DEPE;RURAL_RBD;COD_ENSE;APR_HOM_01;APR_HOM_02;APR_HOM_03;APR_HOM_04;APR_HOM_05;APR_HOM_06;APR_HOM_07;APR_HOM_08;APR_HOM_TO;APR_MUJ_01;APR_MUJ_02;APR_MUJ_03;APR_MUJ_04;APR_MUJ_05;APR_MUJ_06;APR_MUJ_07;APR_MUJ_08;APR_MUJ_TO;REP_HOM_01;REP_HOM_02;REP_HOM_03;REP_HOM_04;REP_HOM_05;REP_HOM_06;REP_HOM_07;REP_HOM_08;REP_HOM_TO;REP_MUJ_01;REP_MUJ_02;REP_MUJ_03;REP_MUJ_04;REP_MUJ_05;REP_MUJ_06;REP_MUJ_07;REP_MUJ_08;REP_MUJ_TO;RET_HOM_01;RET_HOM_02;RET_HOM_03;RET_HOM_04;RET_HOM_05;RET_HOM_06;RET_HOM_07;RET_HOM_08;RET_HOM_TO;RET_MUJ_01;RET_MUJ_02;RET_MUJ_03;RET_MUJ_04;RET_MUJ_05;RET_MUJ_06;RET_MUJ_07;RET_MUJ_08;RET_MUJ_TO;TRA_HOM_01;TRA_HOM_02;TRA_HOM_03;TRA_HOM_04;TRA_HOM_05;TRA_HOM_06;TRA_HOM_07;TRA_HOM_08;TRA_HOM_TO;TRA_MUJ_01;TRA_MUJ_02;TRA_MUJ_03;TRA_MUJ_04;TRA_MUJ_05;TRA_MUJ_06;TRA_MUJ_07;TRA_MUJ_08;TRA_MUJ_TO
2008;7;8;LICEO POLITEC. ANTONIO VARAS DE LA BARRA;B;4;15;15101;ARICA;2;0;510;46;34;75;62;0;0;0;0;217;47;55;9;0;0;0;0;0;111;4;6;0;0;0;0;0;0;10;2;3;0;0;0;0;0;0;5;2;4;2;1;0;0;0;0;9;5;4;0;0;0;0;0;0;9;1;1;2;0;0;0;0;0;4;0;0;0;0;0;0;0;0;0
2008;7;8;LICEO POLITEC. ANTONIO VARAS DE LA BARRA;B;4;15;15101;ARICA;2;0;610;45;33;51;25;0;0;0;0;154;21;42;53;65;0;0;0;0;181;6;4;5;0;0;0;0;0;15;7;5;0;0;0;0;0;0;12;17;9;4;1;0;0;0;0;31;12;8;5;5;0;0;0;0;30;1;0;0;1;0;0;0;0;2;0;0;0;0;0;0;0;0;0
2008;8;6;COLEGIO INTEGRADO EDUARDO FREI MONTALVA;D;2;15;15101;ARICA;2;0;110;35;21;29;32;36;27;35;43;258;20;20;28;28;20;27;36;43;222;0;1;0;4;2;1;3;1;12;0;0;0;2;1;0;3;0;6;0;0;0;1;1;0;1;1;4;0;1;0;0;0;0;0;1;2;0;0;1;0;0;2;1;2;6;0;0;0;0;2;0;2;0;4
2008;8;6;COLEGIO INTEGRADO EDUARDO FREI MONTALVA;D;2;15;15101;ARICA;2;0;310;51;84;73;70;0;0;0;0;278;50;70;51;83;0;0;0;0;254;17;12;19;6;0;0;0;0;54;12;15;10;5;0;0;0;0;42;20;8;11;8;0;0;0;0;47;8;14;6;4;0;0;0;0;32;3;0;0;0;0;0;0;0;3;2;1;2;1;0;0;0;0;6
2008;9;4;ESCUELA REPUBLICA DE ISRAEL;D;4;15;15101;ARICA;2;0;110;78;107;96;84;102;88;101;92;748;70;71;72;87;69;80;78;80;607;0;0;3;1;4;3;1;0;12;0;0;1;1;4;2;0;0;8;2;0;0;0;2;0;0;0;4;1;0;0;1;0;0;0;0;2;6;3;2;3;2;4;1;1;22;2;1;1;2;3;2;1;0;12
2008;10;8;ESCUELA  REPUBLICA DE FRANCIA;D;6;15;15101;ARICA;2;0;110;0;0;0;0;0;0;0;0;0;45;63;45;82;93;72;77;73;550;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;3;2;6;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;2;2;5;0;0;0;0;0;1;0;0;1;1;5;1;1;6;2;2;4;22
2008;10;8;ESCUELA  REPUBLICA DE FRANCIA;D;6;15;15101;ARICA;2;0;310;0;0;0;0;0;0;0;0;0;22;28;26;0;0;0;0;0;76;0;0;0;0;0;0;0;0;0;5;0;1;0;0;0;0;0;6;0;0;0;0;0;0;0;0;0;7;4;0;0;0;0;0;0;11;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;1
2008;11;6;ESCUELA GRAL. PEDRO LAGOS MARCHANT;D;7;15;15101;ARICA;2;0;110;16;12;11;17;16;8;20;15;115;17;18;14;14;17;12;16;14;122;1;0;0;0;1;1;1;0;4;1;1;0;0;0;0;2;0;4;3;2;2;0;0;1;3;1;12;0;1;2;0;1;0;0;0;4;0;1;2;0;2;1;1;2;9;1;0;2;1;0;0;0;1;5
2008;12;4;ESCUELA GRAL. JOSE MIGUEL CARRERA;D;10;15;15101;ARICA;2;0;110;15;23;29;30;23;34;31;33;218;11;22;26;27;30;22;41;30;209;1;2;2;2;1;0;1;0;9;1;1;0;0;2;0;0;0;4;0;1;0;0;3;0;1;0;5;1;0;0;0;0;0;0;0;1;3;1;3;0;2;0;0;1;10;0;0;1;2;1;0;0;0;4
2008;13;2;ESCUELA  MANUEL RODRIGUEZ ERDOYZA;D;11;15;15101;ARICA;2;0;110;12;18;19;15;16;21;17;19;137;14;18;17;16;28;14;21;16;144;0;1;2;0;1;0;0;0;4;1;1;0;0;0;0;0;0;2;0;0;0;1;0;0;1;0;2;4;1;1;0;0;0;1;0;7;1;2;3;1;1;0;0;0;8;3;0;1;0;0;2;0;1;7
2008;14;0;ESCUELA ROMULO J. PENA MATURANA;D;12;15;15101;ARICA;2;0;110;9;15;14;14;17;15;17;22;123;6;10;18;11;12;8;14;15;94;1;1;0;0;0;0;1;0;3;0;1;0;0;0;0;0;0;1;0;1;1;1;0;3;0;0;6;1;0;0;0;0;0;1;0;2;0;2;0;1;3;0;0;0;6;1;1;0;0;0;0;0;0;2
2008;15;9;LICEO ARTISTICO DR.  JUAN NOE CREVANI;D;13;15;15101;ARICA;2;0;110;13;12;14;15;16;18;13;23;124;10;12;17;17;15;16;18;12;117;2;1;1;2;1;4;2;1;14;1;0;0;0;0;0;1;0;2;0;0;1;0;1;1;2;0;5;1;0;0;0;1;0;1;0;3;1;2;0;3;5;4;1;1;17;1;1;3;1;1;2;1;3;13
2008;15;9;LICEO ARTISTICO DR.  JUAN NOE CREVANI;D;13;15;15101;ARICA;2;0;310;29;20;25;23;0;0;0;0;97;25;21;9;11;0;0;0;0;66;1;1;3;0;0;0;0;0;5;3;2;0;0;0;0;0;0;5;5;1;0;0;0;0;0;0;6;5;3;2;1;0;0;0;0;11;1;0;0;1;0;0;0;0;2;1;1;1;0;0;0;0;0;3
2008;16;7;ESCUELA REGIMIENTO RANCAGUA;D;14;15;15101;ARICA;2;0;110;12;16;19;18;26;31;33;44;199;9;4;7;4;8;9;18;14;73;0;0;1;0;0;1;1;0;3;0;0;0;0;0;0;0;1;1;0;0;0;0;0;1;0;0;1;0;0;1;0;0;0;0;0;1;1;0;2;1;0;2;1;4;11;0;1;1;0;0;0;3;0;5
2008;17;5;ESCUELA  SUBTTE. LUIS CRUZ MARTINEZ;D;16;15;15101;ARICA;2;0;110;15;12;14;16;8;15;11;13;104;6;9;12;17;15;15;18;25;117;1;0;0;0;0;1;0;2;4;0;0;0;1;0;1;0;0;2;1;0;0;0;0;1;0;0;2;0;1;0;0;0;0;2;0;3;1;0;0;2;2;2;3;0;10;2;2;1;0;2;2;2;1;12
2008;18;3;ESCUELA CDMTE. JUAN JOSE SAN MARTIN;D;17;15;15101;ARICA;2;0;110;16;16;22;16;25;36;28;42;201;17;20;18;22;21;30;36;34;198;1;0;0;1;1;0;0;0;3;1;0;0;0;0;0;0;0;1;2;0;1;0;1;0;0;1;5;1;0;0;0;0;0;0;0;1;1;1;0;0;2;0;1;0;5;0;1;1;1;2;1;1;0;7
2008;19;1;ESCUELA  HUMBERTO VALENZUELA GARCIA;D;18;15;15101;ARICA;2;0;110;22;32;27;19;23;26;31;33;213;14;17;18;22;15;20;32;26;164;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;1;1;1;0;0;0;0;0;3;0;0;0;0;1;0;0;0;1;1;0;0;0;4;3;0;1;9;4;0;0;2;1;1;1;0;9
2008;20;5;ESCUELA  TUCAPEL;D;21;15;15101;ARICA;2;0;110;29;37;24;37;23;29;34;35;248;27;33;21;33;21;22;31;43;231;0;0;0;1;0;3;0;0;4;0;1;0;0;0;1;1;2;5;0;1;0;1;1;0;0;1;4;3;0;0;0;0;0;0;0;3;3;1;0;0;0;1;0;1;6;0;1;1;0;1;0;1;1;5
2008;21;3;ESCUELA  LINCOYAN;D;23;15;15101;ARICA;2;0;110;6;3;8;7;10;9;9;10;62;4;3;5;5;5;10;4;11;47;0;0;0;2;4;0;1;0;7;0;0;0;1;3;0;0;1;5;2;0;0;1;1;0;1;1;6;0;1;0;0;0;0;1;0;2;0;0;0;0;3;0;1;0;4;0;1;0;0;1;0;1;1;4
2008;22;1;ESCUELA GABRIELA MISTRAL;D;24;15;15101;ARICA;2;0;110;53;48;56;44;57;69;57;61;445;45;46;36;38;57;71;69;60;422;2;3;3;4;3;3;1;0;19;1;0;1;3;1;0;1;0;7;1;2;1;3;0;1;1;0;9;1;1;0;2;3;1;0;0;8;5;8;3;4;4;6;1;2;33;4;1;3;1;3;3;3;0;18
